cargo,padrao,vencimento,gampu,gas_25,gas_35,aq_5,aq_75,aq_10,"aq_12,5",at_25,at_5,penosidade
analista,1,7578.66,10610.12,1894.67,2652.53,378.93,568.40,757.87,947.33,189.47,378.93,1515.73
analista,2,7836.33,10970.86,1959.08,2742.72,391.82,587.72,783.63,979.54,195.91,391.82,1567.27
analista,3,8102.76,11343.86,2025.69,2835.97,405.14,607.71,810.28,1012.85,202.57,405.14,1620.55
analista,4,8378.25,11729.55,2094.56,2932.39,418.91,628.37,837.83,1047.28,209.46,418.91,1675.65
analista,5,8663.11,12128.35,2165.78,3032.09,433.16,649.73,866.31,1082.89,216.58,433.16,1732.62
analista,6,8779.69,12291.57,2194.92,3072.89,438.98,658.48,877.97,1097.46,219.49,438.98,1755.94
analista,7,9101.68,12742.35,2275.42,3185.59,455.08,682.63,910.17,1137.71,227.54,455.08,1820.34
analista,8,9329.22,13060.91,2332.31,3265.23,466.46,699.69,932.92,1166.15,233.23,466.46,1865.84
analista,9,9562.45,13387.43,2390.61,3346.86,478.12,717.18,956.25,1195.31,239.06,478.12,1912.49
analista,10,9801.51,13722.11,2450.38,3430.53,490.08,735.11,980.15,1225.19,245.04,490.08,1960.30
analista,11,10046.55,14065.17,2511.64,3516.29,502.33,753.49,1004.66,1255.82,251.16,502.33,2009.31
analista,12,10297.71,14416.79,2574.43,3604.20,514.89,772.33,1029.77,1287.21,257.44,514.89,2059.54
analista,13,10555.15,14777.21,2638.79,3694.30,527.76,791.64,1055.52,1319.39,263.88,527.76,2111.03
tecnico,1,9562.45,13387.43,2390.61,3346.86,478.12,717.18,956.25,1195.31,239.06,478.12,1912.49
tecnico,2,9801.51,13722.11,2450.38,3430.53,490.08,735.11,980.15,1225.19,245.04,490.08,1960.30
tecnico,3,10046.55,14065.17,2511.64,3516.29,502.33,753.49,1004.66,1255.82,251.16,502.33,2009.31
tecnico,4,10297.71,14416.79,2574.43,3604.20,514.89,772.33,1029.77,1287.21,257.44,514.89,2059.54
tecnico,5,10555.15,14777.21,2638.79,3694.30,527.76,791.64,1055.52,1319.39,263.88,527.76,2111.03
tecnico,6,10787.36,15102.30,2696.84,3775.58,539.37,809.05,1078.74,1348.42,269.68,539.37,2157.47
tecnico,7,10981.58,15374.21,2745.40,3843.55,549.08,823.62,1098.16,1372.70,274.54,549.08,2196.32
tecnico,8,11213.03,15698.24,2803.26,3924.56,560.65,840.98,1121.30,1401.63,280.33,560.65,2242.61
tecnico,9,11450.50,16030.70,2862.63,4007.68,572.53,858.79,1145.05,1431.31,286.26,572.53,2290.10
tecnico,10,11687.97,16363.16,2921.99,4090.79,584.40,876.60,1168.80,1461.00,292.20,584.40,2337.59
tecnico,11,11925.45,16695.63,2981.36,4173.91,596.27,894.41,1192.55,1490.68,298.14,596.27,2385.09
tecnico,12,12162.92,17028.09,3040.73,4257.02,608.15,912.22,1216.29,1520.37,304.07,608.15,2432.58
tecnico,13,12400.39,17360.55,3100.10,4340.14,620.02,930.03,1240.04,1550.05,310.01,620.02,2480.08
